index;Date;Tile
1140;20230122;48PXT
1141;20230120;48PXT
1142;20230117;48PXT
1143;20230115;48PXT
1144;20230112;48PXT
1145;20230110;48PXT
1146;20230107;48PXT
1147;20230105;48PXT
1148;20230102;48PXT
1150;20230828;48PXT
1152;20230823;48PXT
1154;20230818;48PXT
1156;20230813;48PXT
1158;20230808;48PXT
1160;20230803;48PXT
1162;20231027;48PXT
1164;20231022;48PXT
1168;20231014;48PXT
1170;20231009;48PXT
1172;20231004;48PXT
1174;20230729;48PXT
1176;20230724;48PXT
1178;20230719;48PXT
1180;20230714;48PXT
1182;20230709;48PXT
1184;20230704;48PXT
1186;20230530;48PXT
1188;20230525;48PXT
1190;20230520;48PXT
1192;20230515;48PXT
1194;20230510;48PXT
1196;20230505;48PXT
1198;20230929;48PXT
1200;20230924;48PXT
1202;20230919;48PXT
1204;20230914;48PXT
1206;20230909;48PXT
1208;20230904;48PXT
1210;20230226;48PXT
1211;20230224;48PXT
1212;20230221;48PXT
1213;20230219;48PXT
1214;20230216;48PXT
1215;20230214;48PXT
1216;20230211;48PXT
1217;20230209;48PXT
1218;20230206;48PXT
1219;20230204;48PXT
1220;20230201;48PXT
1221;20230427;48PXT
1223;20230422;48PXT
1225;20230415;48PXT
1227;20230410;48PXT
1229;20230405;48PXT
1231;20231128;48PYQ
1232;20231118;48PYQ
1233;20231108;48PYQ
1234;20231103;48PYQ
1235;20230328;48PYQ
1236;20230323;48PYQ
1237;20230318;48PYQ
1238;20230313;48PYQ
1239;20230308;48PYQ
1240;20230303;48PYQ
1241;20230226;48PYQ
1242;20230221;48PYQ
1243;20230216;48PYQ
1244;20230211;48PYQ
1245;20230206;48PYQ
1246;20230201;48PYQ
1247;20230830;48PYQ
1248;20230825;48PYQ
1249;20230820;48PYQ
1250;20230815;48PYQ
1251;20230810;48PYQ
1252;20230805;48PYQ
1253;20230527;48PYQ
1254;20230522;48PYQ
1255;20230517;48PYQ
1256;20230512;48PYQ
1257;20230507;48PYQ
1258;20230502;48PYQ
1259;20230626;48PYQ
1260;20230621;48PYQ
1261;20230616;48PYQ
1262;20230611;48PYQ
1263;20230606;48PYQ
1264;20230601;48PYQ
1265;20230726;48PYQ
1266;20230721;48PYQ
1267;20230716;48PYQ
1268;20230711;48PYQ
1269;20230706;48PYQ
